epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4575,0.76887,10.309,0.76355,0.00023,0.25,0.0014,0.00094,0.24236,2.63399,0.31351,0.00041336,0.00041336,0.00041336
2,159.23,0.40962,2.08502,0.32492,0.00907,0.34375,0.02239,0.01883,0.15836,2.82839,0.17043,0.000813592,0.000813592,0.000813592
3,241.269,0.4434,1.67498,0.39077,0.81864,0.25,0.15914,0.12132,0.24546,1.51693,0.24737,0.00119732,0.00119732,0.00119732
4,322.589,0.4568,1.30448,0.41212,0.58083,0.09375,0.05694,0.02017,0.3885,1.45492,0.55891,0.00117575,0.00117575,0.00117575
5,402.055,0.47986,1.09486,0.3993,0.69073,0.61474,0.6197,0.47844,0.27995,1.05815,0.37656,0.001151,0.001151,0.001151
6,480.517,0.41085,0.94322,0.3513,0.68928,0.74116,0.80709,0.60754,0.34764,0.81281,0.47707,0.00112625,0.00112625,0.00112625
7,559.173,0.36519,1.08823,0.30342,0.91458,0.77607,0.89822,0.70969,0.26298,0.94886,0.29326,0.0011015,0.0011015,0.0011015
8,637.784,0.39506,0.87013,0.32351,0.65257,0.95,0.89785,0.78424,0.19395,0.64775,0.25452,0.00107675,0.00107675,0.00107675
9,716.216,0.38158,0.88672,0.34886,0.6786,0.93167,0.84711,0.61222,0.31867,0.80361,0.45066,0.001052,0.001052,0.001052
10,794.915,0.36138,0.88027,0.31174,0.72453,0.8,0.6887,0.58264,0.20754,1.0245,0.29375,0.00102725,0.00102725,0.00102725
11,873.786,0.36334,0.85532,0.28716,0.67543,0.91084,0.87889,0.75012,0.22708,0.69956,0.31012,0.0010025,0.0010025,0.0010025
12,952.413,0.34009,0.89371,0.26053,0.85065,0.95,0.9263,0.81211,0.17428,0.48657,0.21423,0.00097775,0.00097775,0.00097775
13,1031.08,0.32412,0.8409,0.27348,0.76056,0.91875,0.86321,0.73035,0.2104,0.62799,0.27195,0.000953,0.000953,0.000953
14,1169.24,0.32205,0.69478,0.2654,0.79212,0.73832,0.75645,0.58318,0.28926,0.84288,0.3546,0.00092825,0.00092825,0.00092825
15,1247.98,0.33458,0.7337,0.2675,0.83763,0.89297,0.91896,0.7312,0.22997,0.65086,0.26939,0.0009035,0.0009035,0.0009035
16,1326.91,0.34155,0.73475,0.2952,0.97003,0.9366,0.96239,0.76461,0.26332,0.44303,0.31099,0.00087875,0.00087875,0.00087875
17,1405.35,0.32923,0.79289,0.29826,0.91236,0.86444,0.8999,0.72351,0.2472,0.63596,0.28836,0.000854,0.000854,0.000854
18,1484.44,0.31374,0.74107,0.25089,0.89076,0.82405,0.9124,0.72799,0.27437,0.64385,0.29863,0.00082925,0.00082925,0.00082925
19,1563.53,0.30014,0.72543,0.25773,0.78155,0.87708,0.89703,0.66729,0.26181,0.70678,0.31751,0.0008045,0.0008045,0.0008045
20,1642.49,0.31893,0.71178,0.24321,0.87691,0.916,0.94458,0.77806,0.24447,0.57955,0.31481,0.00077975,0.00077975,0.00077975
21,1720.89,0.27183,0.71217,0.22634,0.78061,0.9371,0.93196,0.74002,0.24726,0.61823,0.29745,0.000755,0.000755,0.000755
22,1801.28,0.29215,0.67011,0.24638,0.79704,0.95,0.93797,0.78899,0.22321,0.55417,0.26455,0.00073025,0.00073025,0.00073025
23,1879.34,0.29213,0.70728,0.24291,0.81295,0.95,0.92815,0.77582,0.22202,0.57227,0.28691,0.0007055,0.0007055,0.0007055
24,1957.45,0.30137,0.72183,0.25467,0.81672,0.84803,0.85958,0.67398,0.28265,0.5601,0.36363,0.00068075,0.00068075,0.00068075
25,2036.34,0.29007,0.66244,0.24371,0.91026,0.83763,0.89388,0.7221,0.22954,0.56101,0.31149,0.000656,0.000656,0.000656
26,2114.43,0.2777,0.60895,0.22494,0.9471,0.95,0.94709,0.80007,0.21086,0.42375,0.28709,0.00063125,0.00063125,0.00063125
27,2192.48,0.28992,0.60063,0.27196,0.85088,0.78908,0.91172,0.725,0.25162,0.62788,0.28535,0.0006065,0.0006065,0.0006065
28,2270.74,0.27271,0.59977,0.22453,0.87369,0.7625,0.82157,0.65625,0.27649,0.60185,0.37152,0.00058175,0.00058175,0.00058175
29,2348.78,0.26041,0.58478,0.2247,0.87877,0.94499,0.95146,0.77772,0.24004,0.45445,0.29243,0.000557,0.000557,0.000557
30,2426.89,0.27647,0.63305,0.23002,0.93052,0.85035,0.92537,0.81386,0.20779,0.42429,0.26024,0.00053225,0.00053225,0.00053225
31,2505.41,0.2729,0.62527,0.22811,0.93472,0.91875,0.95357,0.70256,0.3255,0.48983,0.44586,0.0005075,0.0005075,0.0005075
32,2583.37,0.27284,0.62758,0.22786,0.83309,0.77169,0.84646,0.701,0.25167,0.54524,0.25466,0.00048275,0.00048275,0.00048275
33,2661.53,0.25737,0.58722,0.21012,0.90166,0.83216,0.86427,0.7028,0.24079,0.53456,0.32892,0.000458,0.000458,0.000458
34,2739.84,0.2741,0.57189,0.23394,0.93432,0.84782,0.91335,0.73593,0.232,0.53283,0.29843,0.00043325,0.00043325,0.00043325
35,2817.87,0.24123,0.55493,0.19437,0.98231,0.83011,0.90866,0.77667,0.19897,0.4774,0.26311,0.0004085,0.0004085,0.0004085
36,2895.99,0.27034,0.50934,0.20969,0.98266,0.83605,0.87329,0.78865,0.16194,0.45392,0.21829,0.00038375,0.00038375,0.00038375
37,2974.25,0.25778,0.55198,0.21475,0.79447,0.825,0.8215,0.75799,0.15378,0.67844,0.2153,0.000359,0.000359,0.000359
38,3052.14,0.24243,0.50284,0.19922,0.88605,0.91875,0.91322,0.77752,0.17727,0.4784,0.23189,0.00033425,0.00033425,0.00033425
39,3130.21,0.24799,0.53385,0.20814,0.90904,0.94588,0.93637,0.78072,0.20176,0.47506,0.24972,0.0003095,0.0003095,0.0003095
40,3208.46,0.27408,0.50363,0.21335,0.95664,0.94369,0.94508,0.80284,0.19303,0.4219,0.24876,0.00028475,0.00028475,0.00028475
41,3295.2,0.14845,0.3704,0.15358,0.95299,0.95,0.94509,0.79902,0.20541,0.4217,0.27812,0.00026,0.00026,0.00026
42,3373.43,0.14946,0.39611,0.14384,0.96696,0.95,0.94551,0.84374,0.16626,0.37216,0.21293,0.00023525,0.00023525,0.00023525
43,3451.93,0.15595,0.35034,0.16404,0.95792,0.95,0.94559,0.85208,0.15622,0.35935,0.20525,0.0002105,0.0002105,0.0002105
44,3530.39,0.14683,0.362,0.16701,0.87598,0.95,0.91176,0.83657,0.15729,0.41828,0.2079,0.00018575,0.00018575,0.00018575
45,3608.69,0.13808,0.33918,0.13957,0.97421,0.95,0.94642,0.86614,0.15566,0.37314,0.20278,0.000161,0.000161,0.000161
46,3687.15,0.1492,0.35568,0.1588,0.96381,0.95,0.94541,0.84838,0.16516,0.37826,0.22178,0.00013625,0.00013625,0.00013625
47,3765.26,0.13446,0.35175,0.14472,0.95837,0.95,0.94534,0.85529,0.16465,0.37359,0.21683,0.0001115,0.0001115,0.0001115
48,3843.67,0.12817,0.33323,0.13681,0.94388,0.95,0.94536,0.86014,0.16282,0.36364,0.21875,8.675e-05,8.675e-05,8.675e-05
49,3922.31,0.11606,0.33144,0.12812,0.95039,0.95,0.94545,0.85474,0.15921,0.36812,0.21154,6.2e-05,6.2e-05,6.2e-05
50,4000.94,0.1292,0.32309,0.12596,0.94532,0.95,0.94586,0.85733,0.15505,0.37073,0.2029,3.725e-05,3.725e-05,3.725e-05
